"player_api_id","player_name","overall_rating","date","gk_rating","appearance","leagues"
24591,"Ricardo",68,"2013-03-15 00:00:00",346,86,1
24634,"Radek Cerny",66,"2013-07-12 00:00:00",320,5,1
24694,"Matthew Gilks,18",69,"2015-09-21 00:00:00",347,18,1
24788,"Brian Jensen",62,"2015-10-09 00:00:00",307,38,1
24886,"Michael Pollitt",64,"2014-04-25 00:00:00",325,5,1
24983,"Gunnar Nielsen",63,"2014-10-02 00:00:00",313,19,1
24984,"Graeme Smith",60,"2012-02-22 00:00:00",300,38,1
24985,"Graeme Smith",63,"2011-02-22 00:00:00",317,51,1
25018,"Heinz Mueller",71,"2014-03-21 00:00:00",357,65,1
25156,"Ali Al-Habsi",68,"2015-12-24 00:00:00",334,101,1
25199,"Yves Makaba-Makalamby",63,"2012-02-22 00:00:00",314,28,2
25329,"Jesper Hansen",70,"2016-01-28 00:00:00",350,40,1
25524,"Frank Rost",74,"2011-08-30 00:00:00",371,98,1
25540,"Vincent Enyeama",81,"2015-09-21 00:00:00",403,111,1
25563,"Carlos Kameni",79,"2016-02-25 00:00:00",395,177,1
25735,"Juan Pablo Carrizo",74,"2015-09-21 00:00:00",371,55,2
25760,"Massimo Colomba",64,"2012-02-22 00:00:00",316,19,1
25779,"Marcel Herzog",60,"2015-09-25 00:00:00",296,29,1
25811,"Johnny Leoni",65,"2014-07-25 00:00:00",324,95,2
25852,"Jean Francois Bedenik",63,"2011-08-30 00:00:00",308,59,2
25942,"Rui Sacramento",64,"2015-09-21 00:00:00",312,4,1
25947,"Marco Woelfli",65,"2016-05-12 00:00:00",333,174,1
25993,"Rui Nereu",66,"2010-02-22 00:00:00",331,16,1
26002,"Kenneth Vermeer",78,"2016-02-19 00:00:00",383,155,1
26003,"Hans Vonk",69,"2009-02-22 00:00:00",344,4,1
26117,"Mathieu Valverde",71,"2012-02-22 00:00:00",360,58,1
26126,"Yohann Pele",73,"2015-09-21 00:00:00",367,67,1
26150,"Gregory Malicki",69,"2014-04-11 00:00:00",341,34,1
26164,"Joan Hartock",67,"2015-10-09 00:00:00",333,2,1
26167,"Remy Vercoutre",76,"2016-05-12 00:00:00",383,120,1
26168,"Cedric Carrasso",80,"2015-09-21 00:00:00",399,268,1
26173,"Faryd Mondragon",72,"2013-11-01 00:00:00",352,75,1
26190,"Gregory Wimbee",71,"2011-02-22 00:00:00",355,38,1
26215,"Flavio Roma",67,"2014-02-28 00:00:00",327,5,1
26233,"Gennaro Bracigliano",61,"2013-09-20 00:00:00",307,67,1
26241,"Olivier Sorin",67,"2015-10-02 00:00:00",341,127,1
26252,"Tony Heurtebis",63,"2010-02-22 00:00:00",308,7,1
26275,"Alexis Thebaux",70,"2016-04-14 00:00:00",342,111,1
26290,"Damien Gregorini",66,"2013-09-20 00:00:00",326,77,1
26295,"Hugo Lloris",85,"2016-03-17 00:00:00",406,282,2
