"team_api_id","team_long_name","buildUp","chanceCreation","defense","goals"
9882,"Sampdoria",130,130,154,318
9804,"Torino",174,159,137,241
8600,"Udinese",185,189,154,415
8551,"Siena",144,183,144,149
8690,"Reggio Calabria",163,184,138,30
8540,"Palermo",168,158,152,351
8543,"Lazio",188,220,190,417
9885,"Juventus",105,195,135,543
9857,"Bologna",164,132,132,263
9875,"Napoli",160,189,157,514
9888,"Lecce",NA,135,140,121
8636,"Inter",181,169,159,496
10233,"Genoa",184,134,127,392
8537,"Livorno",183,134,126,66
10167,"Parma",147,176,132,272
9976,"Bari",157,143,156,76
9880,"Cesena",138,163,145,98
9858,"Brescia",141,158,150,34
6269,"Novara",179,168,138,34
9878,"Pescara",148,131,128,27
9876,"Hellas Verona",124,148,158,145
7943,"Sassuolo",182,169,138,141
8534,"Empoli",145,186,160,86
9891,"Frosinone",157,151,159,35
208931,"Carpi",190,160,115,37
8277,"Vitesse",145,161,180,423
9803,"Roda JC Kerkrade",133,146,118,343
8525,"Willem II",150,153,135,222
8464,"N.E.C.",150,156,141,310
9908,"FC Utrecht",143,147,159,408
9791,"Heracles Almelo",147,165,169,403
8614,"Sparta Rotterdam",NA,140,90,76
10229,"AZ",154,173,166,492
8526,"De Graafschap",NA,150,136,130
8593,"Ajax",117,143,176,647
8674,"FC Groningen",142,170,149,390
10235,"Feyenoord",131,146,129,489
10217,"ADO Den Haag",162,145,142,366
9761,"NAC Breda",153,128,115,294
10228,"SC Heerenveen",150,152,138,470
8611,"FC Twente",131,140,140,509
8640,"PSV",153,125,128,652
10219,"RKC Waalwijk",142,133,99,153
9839,"VVV-Venlo",NA,164,120,152
10218,"Excelsior",163,136,106,154
6413,"PEC Zwolle",136,165,181,204
7788,"SC Cambuur",136,134,138,119
6433,"Go Ahead Eagles",160,131,141,74
6631,"FC Dordrecht",134,176,164,24
10265,"Wisła Kraków",119,101,157,332
8020,"Polonia Bytom",NA,122,162,245
8673,"Legia Warszawa",137,167,168,409
8025,"Śląsk Wrocław",140,157,139,318
8244,"Widzew Łódź",190,184,139,50
2182,"Lech Poznań",147,196,153,372
8322,"Arka Gdynia",NA,147,140,77
8028,"Piast Gliwice",183,169,129,204
8569,"GKS Bełchatów",143,139,132,190
1957,"Jagiellonia Białystok",158,152,162,287
2186,"Cracovia",125,165,157,235
1601,"Ruch Chorzów",133,176,136,280
2183,"P. Warszawa",NA,131,139,184
8242,"Odra Wodzisław",NA,155,205,50
8030,"Lechia Gdańsk",162,183,149,279
8031,"Polonia Bytom",NA,122,162,88
8245,"Korona Kielce",178,153,135,237
8021,"Zagłębie Lubin",133,149,148,207
8024,"Widzew Łódź",190,184,139,122
8033,"Podbeskidzie Bielsko-Biała",189,166,102,169
8023,"Pogoń Szczecin",119,144,158,152
8027,"Zawisza Bydgoszcz",145,147,143,75
8019,"Górnik Łęczna",140,139,149,61
9773,"FC Porto",173,190,178,541
9768,"Sporting CP",178,147,174,411
7844,"Vitória Guimarães",131,173,141,300
6403,"FC Paços de Ferreira",142,169,139,292
7841,"Rio Ave FC",157,177,153,248
6421,"Leixões SC",NA,165,90,55
9809,"Naval 1° de Maio",NA,135,121,71
9772,"SL Benfica",177,185,171,568
9807,"CF Os Belenenses",156,128,135,148
10264,"SC Braga",145,166,120,398
10212,"CS Marítimo",176,186,133,316
10238,"Vitória Setúbal",149,158,132,238
10214,"CD Nacional",167,150,141,332
10215,"Académica de Coimbra",150,166,138,240
9771,"União de Leiria, SAD",NA,148,154,85
2033,"S.C. Olhanense",147,134,105,138
10211,"SC Beira Mar",NA,165,150,93
9764,"Gil Vicente FC",176,147,132,110
8348,"Moreirense FC",139,144,138,101
7842,"Estoril Praia",167,139,150,167
158085,"FC Arouca",170,160,113,101
6547,"FC Penafiel",147,146,121,29
8613,"Boavista FC",153,128,148,51
8596,"Falkirk",NA,200,200,68
9860,"Heart of Midlothian",168,176,158,317
8597,"Kilmarnock",158,158,144,346
8485,"Aberdeen",176,186,157,365
9925,"Celtic",156,164,169,695
8429,"Hamilton Academical FC",143,197,155,185
9938,"Dundee United",171,149,143,438
8066,"Inverness Caledonian Thistle",127,174,139,345
8548,"Rangers",153,153,151,324
9927,"Motherwell",165,116,132,403
9800,"St. Mirren",124,164,166,257
10251,"Hibernian",148,139,124,259
8467,"St. Johnstone FC",162,136,140,308
8457,"Dunfermline Athletic",NA,168,148,40
8649,"Ross County FC",153,153,123,192
8284,"Dundee FC",142,158,146,127
8426,"Partick Thistle F.C.",143,160,141,135
10267,"Valencia CF",116,146,147,484
8371,"CA Osasuna",143,168,168,232
9783,"RC Deportivo de La Coruña",155,145,154,241
8388,"CD Numancia",137,152,158,38
8696,"Racing Santander",147,159,151,160
9869,"Real Sporting de Gijón",153,159,140,200
8603,"Real Betis Balompié",145,155,165,225
8558,"RCD Espanyol",146,152,122,338
8315,"Athletic Club de Bilbao",131,146,156,415
9906,"Atlético Madrid",157,172,143,524
8302,"Sevilla FC",159,165,149,478
10205,"Villarreal CF",126,143,139,364
8633,"Real Madrid CF",153,165,175,843
8634,"FC Barcelona",122,141,191,849
8305,"Getafe CF",113,143,134,345
8661,"RCD Mallorca",172,163,156,238
9865,"UD Almería",152,151,135,202
9864,"Málaga CF",129,131,136,377
10281,"Real Valladolid",148,147,134,170
8479,"RC Recreativo",118,109,143,34
8394,"Real Zaragoza",154,165,140,159
9867,"CD Tenerife",163,161,171,40
9868,"Xerez Club Deportivo",NA,138,153,38
10278,"Hércules Club de Fútbol",154,178,160,36
8581,"Levante UD",163,178,111,241
8560,"Real Sociedad",162,166,155,316
8370,"Rayo Vallecano",125,135,169,247
7878,"Granada CF",166,175,155,179
9910,"RC Celta de Vigo",152,139,169,184
10268,"Elche CF",151,164,158,65
8372,"SD Eibar",165,166,142,83
7869,"Córdoba CF",141,171,129,22
8306,"UD Las Palmas",147,148,149,45
9956,"Grasshopper Club Zürich",164,152,126,429
10192,"BSC Young Boys",172,151,128,529
9930,"FC Aarau",142,181,145,153
10199,"FC Luzern",165,160,151,421
7955,"Neuchâtel Xamax",NA,121,116,171
6493,"AC Bellinzona",NA,148,138,128
9931,"FC Basel",170,186,158,619
10179,"FC Sion",155,165,146,371
9824,"FC Vaduz",141,137,133,100
10243,"FC Zürich",157,151,146,468
10190,"FC St. Gallen",146,115,128,276
10191,"FC Thun",152,166,145,279
9777,"Servette FC",NA,164,143,77
7730,"FC Lausanne-Sports",141,164,145,99
